id,date_observed,time_observed,latitude,longitude,common_name
90,05/02/2021,02:51:02,1.38625465,103.7732452,Red Junglefowl
91,12/02/2021,06:14:50,1.367576113,103.8304534,Red Junglefowl
92,17/02/2021,10:17:24,1.405555556,103.8938889,Red Junglefowl
93,20/02/2021,10:50:26,1.3624758,103.84823,Red Junglefowl
94,23/02/2021,22:53:40,1.305968,103.774451,Red Junglefowl
95,20/02/2021,06:19:00,1.363460091,103.8435613,Red Junglefowl
96,27/02/2021,03:19:48,1.3654028,103.8342279,Red Junglefowl
97,27/02/2021,04:09:43,1.367222222,103.8327778,Red Junglefowl
98,28/02/2021,23:54:10,1.313839696,103.8159135,Red Junglefowl
99,27/02/2021,07:27:07,1.363460091,103.8435613,Red Junglefowl
100,27/02/2021,04:09:51,1.363460091,103.8435613,Red Junglefowl
101,27/02/2021,01:49:54,1.363408808,103.8435613,Red Junglefowl
102,07/02/2021,07:35:00,1.264308483,103.8056942,Red Junglefowl
103,15/03/2021,08:31:02,1.300706662,103.7702354,Red Junglefowl
104,02/02/2021,10:42:37,1.30855143,103.7726866,Red Junglefowl
105,20/03/2021,09:32:27,1.277859691,103.846549,Red Junglefowl
106,20/03/2021,09:12:01,1.377760889,103.9445914,Red Junglefowl
107,21/03/2021,22:34:41,1.320893,103.816432,Red Junglefowl
108,22/03/2021,08:30:30,1.372544155,103.9517211,Red Junglefowl
109,23/03/2021,03:39:47,1.320614171,103.8170494,Red Junglefowl
110,24/03/2021,06:34:46,1.296102491,103.7639366,Red Junglefowl
111,24/03/2021,06:30:35,1.291445017,103.7661843,Red Junglefowl
112,24/03/2021,01:12:51,1.266701889,103.8096862,Red Junglefowl
113,25/03/2021,09:30:21,1.314436666,103.8146766,Red Junglefowl
114,29/01/2021,08:06:23,1.263972283,103.8040209,Red Junglefowl
115,29/01/2021,07:47:59,1.26477675,103.8026409,Red Junglefowl
116,27/03/2021,02:18:41,1.313839696,103.8159135,Red Junglefowl
117,27/01/2021,05:21:14,1.296433324,103.8497324,Red Junglefowl
118,28/03/2021,13:25:50,1.300973137,103.7620037,Red Junglefowl
119,31/03/2021,02:43:07,1.30595,103.7736944,Red Junglefowl
120,16/04/2021,06:36:49,1.300798839,103.7744797,Red Junglefowl
121,16/04/2021,08:42:38,1.306328457,103.7731627,Red Junglefowl
122,18/04/2021,01:06:08,1.309192311,103.7728268,Red Junglefowl
123,17/04/2021,,1.249404017,103.8303209,Red Junglefowl
